EID,SR,com,com2
2-s2.0-84876266563,"Plum O & Hassink R, (2013) European Urban and Regional Studies",4,3
2-s2.0-84961288081,"Bathelt H et al., (2013) Regional Studies",4,2
2-s2.0-84893869076,"Bell M et al., (2014) Energy Policy",2,3
2-s2.0-84894946260,"Choi H & Anadon L, (2014) Technological Forecasting and Social Change",2,4
2-s2.0-84955636772,"Watts C & Gilbert N, (2014) Simulating Innovation: Computer-based Tools for...",1,2
2-s2.0-84901397542,"Maggetti M, (2014) West European Politics",3,1
2-s2.0-84891625328,"Cameron J & Hicks J, (2014) Antipode",2,6
2-s2.0-84922269644,"Su X, (2014) Regional Studies",4,2
2-s2.0-84890116244,"Wohl E et al., (2014) Environmental Management",3,2
2-s2.0-84906910119,"Zheng B & Xu J, (2014) Energies",1,3
2-s2.0-84903707194,"Cook M, (2014) Environmental Innovation and Societal Transitions",2,1
2-s2.0-85027954674,"Jacobs D, (2014) Environmental Politics",2,6
2-s2.0-84959208444,"Purkus A et al., (2014) Biomass and Bioenergy",6,1
2-s2.0-84899062433,"Hoggett R, (2014) Applied Energy",2,4
2-s2.0-84911399503,"Norstrom A et al., (2014) Ecology and Society",3,2
2-s2.0-84893387586,"Pizzitutti F et al., (2014) JASSS",3,2
2-s2.0-84981225227,"Perales-Momparler S et al., (2015) Journal of Cleaner Production",2,3
2-s2.0-84933506298,"Hoppe T & van Bueren E, (2015) Energy, Sustainability and Society",2,1
2-s2.0-84923145148,"Pansera M & Owen R, (2015) Technological Forecasting and Social Change",2,6
2-s2.0-84923072183,"Augenstein K, (2015) Environmental Innovation and Societal Transitions",2,1
2-s2.0-84930040226,"Rogers B et al., (2015) Environmental Innovation and Societal Transitions",2,3
2-s2.0-84946832227,"O'Rourke D & Lollo N, (2015) Annual Review of Environment and Resources",2,1
2-s2.0-84928774566,"Bakker S et al., (2015) Journal of Cleaner Production",2,1
2-s2.0-84946743816,"Smits M, (2015) Southeast Asian Energy Transitions: Between Mod...",2,1
2-s2.0-84931957497,"Stephenson J et al., (2015) Wiley Interdisciplinary Reviews: Energy and Env...",2,1
2-s2.0-84945150751,"Fischer-Kowalski M & Haberl H, (2015) Handbook of Ecological Economics",2,3
2-s2.0-84928774168,"Vezzoli C et al., (2015) Journal of Cleaner Production",NA,NA
2-s2.0-84940007452,"Blum N et al., (2015) Technological Forecasting and Social Change",2,5
2-s2.0-84947729862,"Singh R et al., (2015) MIS Quarterly: Management Information Systems",1,2
2-s2.0-84925512283,"Benson C & Magee C, (2015) Scientometrics",1,2
2-s2.0-84923207948,"Hyysalo S & Usenyuk S, (2015) Research Policy",1,2
2-s2.0-84930381168,"Rodriguez-Pose A & Villarreal Peralta E, (2015) Growth and Change",1,1
2-s2.0-84940934808,"Cabrera D et al., (2015) Systems Research and Behavioral Science",3,5
2-s2.0-84958236035,"Nyborg S, (2015) Science and Technology Studies",5,1
2-s2.0-84920860785,"Howell A, (2015) Politics",NA,NA
2-s2.0-84938953608,"Rodriguez-de-Francisco J & Budds J, (2015) Ecological Economics",3,3
2-s2.0-84937829564,"Hollin G & Pearce W, (2015) Nature Climate Change",3,4
2-s2.0-84958862067,"Baptista I, (2015) International Journal of Urban and Regional Res...",5,3
2-s2.0-85032070706,"Marra A et al., (2015) Energy Policy",4,1
2-s2.0-84933179585,"Brekke T, (2015) Entrepreneurship and Regional Development",4,2
2-s2.0-84944096745,"Visconti P et al., (2015) Philosophical Transactions of the Royal Society...",NA,NA
2-s2.0-84948408919,"Solecki W et al., (2015) Urban Climate",3,2
2-s2.0-84990927834,"Huge J et al., (2016) Journal of Cleaner Production",2,3
2-s2.0-84971633052,"Walrave B & Raven R, (2016) Research Policy",2,5
2-s2.0-84979747653,"Salm S et al., (2016) Energy Policy",2,6
2-s2.0-85006139549,"Everard M et al., (2016) Ecosystem Services",5,2
2-s2.0-84938723094,"Marquardt J et al., (2016) Journal of Cleaner Production",2,1
2-s2.0-84960387689,"Williams J, (2016) Futures",2,1
2-s2.0-84958049115,"Kenis A et al., (2016) Journal of Environmental Policy and Planning",2,3
2-s2.0-84990841498,"Luther W, (2016) Contemporary Economic Policy",1,4
2-s2.0-84986538669,"Galvin R & Sunikka-Blank M, (2016) Energy Research and Social Science",5,1
2-s2.0-84994175596,"Butler C et al., (2016) Journal of Consumer Culture",5,2
2-s2.0-84990178122,"Droste N et al., (2016) Journal of Cleaner Production",2,1
2-s2.0-84961838368,"Jallinoja P et al., (2016) Futures",5,1
2-s2.0-84936816825,"Vedeld T et al., (2016) Natural Hazards",4,5
2-s2.0-85008158331,"Hegger D et al., (2016) Ecology and Society",3,2
2-s2.0-84984889812,"Anadon L et al., (2016) Proceedings of the National Academy of Sciences...",2,5
2-s2.0-84995674838,"Pitkanen K et al., (2016) Journal of Cleaner Production",2,4
2-s2.0-84984994864,"Doci G & Gotchev B, (2016) Energy Research and Social Science",2,6
2-s2.0-84954025769,"Chandler J et al., (2016) Journal of Advanced Nursing",3,5
2-s2.0-84941701917,"Howlett M et al., (2016) Journal of Comparative Policy Analysis: Researc...",3,1
2-s2.0-84957798387,"Bellamy R, (2016) Science Technology and Human Values",3,4
2-s2.0-84956853018,"Teller-Elsberg J et al., (2016) Energy Policy",NA,NA
2-s2.0-84995477453,"Schanes K et al., (2016) Journal of Cleaner Production",5,2
2-s2.0-84974799256,"Weimer-Jehle W et al., (2016) Energy",NA,NA
2-s2.0-85006304183,"Gibbs D & O'Neill K, (2017) Regional Studies",2,1
2-s2.0-85011032565,"Warbroek B & Hoppe T, (2017) Sustainability (Switzerland)",2,6
2-s2.0-85007574672,"Wang Z et al., (2017) Energy Policy",5,2
2-s2.0-85038016122,"Pisano G, (2017) Industrial and Corporate Change",1,2
2-s2.0-85005949858,"Neij L et al., (2017) Energy Policy",4,3
2-s2.0-84964659821,"Fitjar R & Rodriguez-Pose A, (2017) Growth and Change",4,3
2-s2.0-85033235646,"Coenen L et al., (2017) Environment and Planning C: Politics and Space",4,3
2-s2.0-84998717747,"Mallaband B et al., (2017) Energy Research and Social Science",5,2
2-s2.0-0032364114,"Tunisini A & Zanfei A, (1998) R and D Management",1,4
2-s2.0-0032352925,"De La Mothe J & Paquet G, (1998) Small Business Economics",1,1
2-s2.0-0032326511,"Morawski S, (1998) Theory, Culture & Society",NA,NA
2-s2.0-0031746925,"Nancholas S, (1998) Health Policy and Planning",3,1
2-s2.0-22644449938,"Windrum P, (1999) American Behavioral Scientist",1,3
2-s2.0-33846804253,"Raffel S, (1999) Sociological Research Online",3,5
2-s2.0-0033447202,"De Meyer A, (1999) R and D Management",1,2
2-s2.0-0032991066,"Hasselmann K, (1999) Climatic Change",6,3
2-s2.0-0032812025,"Simmie J & Hart D, (1999) European Planning Studies",4,1
2-s2.0-0032760770,"Lagendijk A, (1999) European Planning Studies",4,4
2-s2.0-0040440004,"Moncrieff J, (1999) Long Range Planning",NA,NA
2-s2.0-2442664463,"Lemarie S et al., (2000) Scientometrics",1,2
2-s2.0-0033968080,"Green C, (2000) Climatic Change",6,2
2-s2.0-0034530173,"Shin Y & Yun S, (2000) Nutrient Cycling in Agroecosystems",6,2
2-s2.0-0034144768,"Veak T, (2000) Science Technology and Human Values",2,2
2-s2.0-0034045728,"Vonortas N, (2000) Science and Public Policy",1,1
2-s2.0-0039645578,"Unger B, (2000) Organization Studies",1,1
2-s2.0-3042601681,"Ladewig H & Rohs F, (2000) Journal of Extension",3,5
2-s2.0-0034979082,"Sandee H & Rietveld P, (2001) Journal of Development Studies",1,3
2-s2.0-0344475147,"Kerber W & Saam N, (2001) JASSS",1,3
2-s2.0-0035458984,"Wenger L et al., (2001) Tobacco Control",NA,NA
2-s2.0-0036689476,"Dosi G & Malerba F, (2002) Industrial and Corporate Change",1,3
2-s2.0-0036604143,"Drejer A, (2002) Technovation",1,2
2-s2.0-0036793716,"Krause F et al., (2002) Contemporary Economic Policy",6,3
2-s2.0-0036057973,"Roy M & Venema H, (2002) Gender and Development",NA,NA
2-s2.0-0036071783,"Edquist C et al., (2002) European Planning Studies",1,1
2-s2.0-0038183036,"Schlosberg D & Dryzek J, (2002) Organization and Environment",3,1
2-s2.0-4043085065,"Bonardi J & Durand R, (2003) Academy of Management Executive",1,4
2-s2.0-0242333979,"Van Den Ende J & Wijnberg N, (2003) IEEE Transactions on Engineering Management",1,4
2-s2.0-0141957821,"Nelson R, (2003) Philosophical Transactions of the Royal Society...",1,3
2-s2.0-0037285138,"Toth F et al., (2003) Climatic Change",6,3
2-s2.0-0142139158,"Lamberg J & Parvinen P, (2003) European Management Journal",1,3
2-s2.0-33749991942,"Hoff J et al., (2003) Information Polity",3,1
2-s2.0-70449575385,"Rutten R et al., (2003) Economic Geography of Higher Education: Knowled...",4,4
2-s2.0-0344629791,"Segars J et al., (2003) Environmental Science and Technology",NA,NA
2-s2.0-4544377420,"Santos B & Nunes J, (2004) South European Society and Politics",3,1
2-s2.0-9444246359,"Malam L, (2004) Australian Geographer",NA,NA
2-s2.0-10844282658,"Goransson B & Soderberg J, (2005) Technovation",1,3
2-s2.0-16844363093,"Thomas J, (2005) World Development",1,4
2-s2.0-24644449279,"Wonglimpiyarat J, (2005) Technological Forecasting and Social Change",1,3
2-s2.0-84927978505,"Simon H, (2005) The Evolutionary Foundations of Economics",1,3
2-s2.0-85007816866,"Scott P, (2005) Perspectives: Policy and Practice in Higher Edu...",4,2
2-s2.0-84904779315,"Keating M & Hooghe L, (2005) European Union: Power and Policy-Making: Third ...",4,4
2-s2.0-14644425959,"Miller V et al., (2005) IDS Bulletin",3,7
2-s2.0-84920184896,"Geels F & Kemp R, (2006) Flexibility and Stability in the Innovating Eco...",2,4
2-s2.0-84890735616,"Leydesdorff L, (2006) Understanding The Dynamics Of A Knowledge Economy",1,1
2-s2.0-33645867056,"Cohen M, (2006) Industrial and Corporate Change",1,3
2-s2.0-33846178682,"Abbott A, (2006) American Sociologist",NA,NA
2-s2.0-34249741837,"Coenen L & Asheim B, (2006) Regional Development in the Knowledge Economy",4,3
2-s2.0-33748796372,"Na L et al., (2006) Journal of Construction Engineering and Management",1,1
2-s2.0-33745812412,"Mitleton-Kelly E, (2006) E:CO Emergence: Complexity and Organization",NA,NA
2-s2.0-33749378112,"Lazanski T & Kljajic M, (2006) Kybernetes",3,5
2-s2.0-33747156201,"Monostori L & Ueda K, (2006) Advanced Engineering Informatics",3,5
2-s2.0-33747385424,"Tucker P et al., (2006) Preventing Chronic Disease",NA,NA
2-s2.0-34547117609,"Ricci M et al., (2007) International Journal of Energy Sector Management",2,1
2-s2.0-34548355134,"Abbott T & Vernon J, (2007) Managerial and Decision Economics",1,3
2-s2.0-33847278901,"Cashman A & Lewis L, (2007) Business Strategy and the Environment",3,7
2-s2.0-34548615880,"Winter C, (2007) Cambridge Journal of Education",3,3
2-s2.0-33845475646,"Reed M, (2007) Environmental Management",3,3
2-s2.0-34548234502,"Staber U, (2007) Growth and Change",4,1
2-s2.0-44949261162,"Caniels M & Romijn H, (2008) Learning Organization",2,4
2-s2.0-36849013054,"Nill J, (2008) Journal of Cleaner Production",1,4
2-s2.0-36849064224,"Reinstaller A, (2008) Journal of Cleaner Production",2,3
2-s2.0-39149100635,"Atack J et al., (2008) Explorations in Economic History",NA,NA
2-s2.0-84881844332,"Karnoe P & Buchhorn A, (2008) Promoting Sustainable Electricity in Europe: Ch...",2,2
2-s2.0-50249183115,"Tassey G, (2008) Economics of Innovation and New Technology",1,3
2-s2.0-84875250335,"Lorenzoni I et al., (2008) Turning Down the Heat: The Politics of Climate ...",5,2
2-s2.0-46249094416,"Niosi J, (2008) Journal of Development Studies",1,1
2-s2.0-84866001445,"Koch R & Leitner K, (2008) Creativity and Innovation Management",3,5
2-s2.0-43449130393,"Murata Y, (2008) Journal of Development Economics",4,1
2-s2.0-45249116415,"Alexander E, (2008) Planning Theory",NA,NA
2-s2.0-47849099762,"Scholtens B et al., (2008) Sustainable Development",6,3
2-s2.0-51749095419,"Buzzelli M, (2008) Transactions of the Institute of British Geogra...",3,3
2-s2.0-67349219655,"Hoyssa M & Hyysalo S, (2009) Research Policy",2,2
2-s2.0-76249114688,"Wu X et al., (2009) Industry and Innovation",1,2
2-s2.0-64049104388,"Hyysalo S, (2009) Research Policy",1,3
2-s2.0-82755185437,"Nelson R, (2009) The New Economics of Technology Policy",1,3
2-s2.0-70349693794,"Castaldi C et al., (2009) Journal of Evolutionary Economics",1,3
2-s2.0-70649093293,"Goettle R & Fawcett A, (2009) Energy Economics",NA,NA
2-s2.0-70350034184,"Bauner D et al., (2009) Clean Technologies and Environmental Policy",1,2
2-s2.0-64149105919,"Goldstone J, (2009) Comparative Studies of South Asia, Africa and t...",NA,NA
2-s2.0-65649099389,"Williams C & Lee S, (2009) R and D Management",1,2
2-s2.0-67349101502,"Heusinkveld S & Reijers H, (2009) Organization Studies",7,2
2-s2.0-57449112993,"Soo Meng J, (2009) Design Studies",3,5
2-s2.0-84925043353,"Maddison S, (2009) An Introduction to Australian Publicpolicy: The...",3,1
2-s2.0-69249108535,"Collins A et al., (2009) Environment and Planning A",3,4
2-s2.0-77957799173,"Markusson N & Haszeldine S, (2010) Energy Policy",2,4
2-s2.0-77949561762,"Holcomb T et al., (2010) Organizational Research Methods",1,3
2-s2.0-76449119419,"Dijk M & Kemp R, (2010) International Journal of Automotive Technology ...",2,4
2-s2.0-78650005376,"Sovacool B, (2010) Social Studies of Science",2,2
2-s2.0-84856483699,"Bergek A et al., (2010) The Theory and Practice of Innovation Policy: A...",2,5
2-s2.0-84904955222,"Bulkeley H et al., (2010) Cities and Low Carbon Transitions",2,1
2-s2.0-78651067656,"Ramirez P & Rainbird H, (2010) Work, Employment and Society",1,1
2-s2.0-79954998476,"Grubler A & Riahi K, (2010) Carbon Management",6,4
2-s2.0-77957307227,"Kimura O, (2010) Energy Policy",2,4
2-s2.0-78649460686,"Birch K & Cumbers A, (2010) Environment and Planning A",4,4
2-s2.0-78649576046,"Griffin L, (2010) Environmental Policy and Governance",NA,NA
2-s2.0-77958587385,"Roitman S, (2010) Proceedings of the Institution of Civil Enginee...",4,2
2-s2.0-84865161153,"Smith A, (2010) Cities and Low Carbon Transitions",3,2
2-s2.0-79958259605,"Lehtonen M, (2010) Journal of Integrative Environmental Sciences",3,4
2-s2.0-76849085063,"Victor P, (2010) Annals of the New York Academy of Sciences",3,6
2-s2.0-77956412458,"Breuer N et al., (2010) Journal of Extension",7,3
2-s2.0-72249100607,"Bistline J & Rai V, (2010) Energy Policy",6,3
2-s2.0-76549102190,"Bennaceur K & Gielen D, (2010) International Journal of Greenhouse Gas Control",6,4
2-s2.0-80052033962,"Egyedi T & Spirco J, (2011) Futures",2,3
2-s2.0-80051652742,"Lissandrello E & Grin J, (2011) Planning Theory and Practice",2,1
2-s2.0-80053058090,"Dolfsma W & Leydesdorff L, (2011) Innovation: Management, Policy and Practice",1,1
2-s2.0-79958705254,"Dijk M, (2011) Technology in Society",2,4
2-s2.0-79751486366,"Burrell J, (2011) Science Technology and Human Values",2,2
2-s2.0-80255127301,"Mangematin V et al., (2011) Journal of Technology Transfer",1,2
2-s2.0-78649697896,"Berends H et al., (2011) International Journal of Technology Management",1,2
2-s2.0-79958081098,"Cantner U et al., (2011) Papers in Regional Science",1,1
2-s2.0-84921652580,"Martinsen D & Falkner G, (2011) The EU's Decision Traps: Comparing Policies",3,1
2-s2.0-80052459472,"Engeli I & Varone F, (2011) Swiss Political Science Review",3,1
2-s2.0-79960940954,"Hill R et al., (2011) Food and Nutrition Bulletin",3,1
2-s2.0-79958067521,"Valkering P et al., (2011) Regional Environmental Change",2,3
2-s2.0-80052949382,"De Almeida P & Silva P, (2011) Futures",NA,NA
2-s2.0-82355175214,"Wong C, (2011) Technology in Society",1,1
2-s2.0-79959965753,"Karvonen A & Yocom K, (2011) Environment and Planning A",3,3
2-s2.0-80052732236,"Safarzynska K & van den Bergh J, (2011) Energy Policy",1,3
2-s2.0-78651088912,"Anshelm J & Hansson A, (2011) Environmental Values",2,6
2-s2.0-79952073475,"Valentine S et al., (2011) Energy Policy",5,2
2-s2.0-79956202522,"Learmonth G et al., (2011) Innovation Journal",3,2
2-s2.0-84873717648,"Wilts H, (2012) Waste Management and Research",2,4
2-s2.0-84856749113,"Teschner N et al., (2012) Technological Forecasting and Social Change",2,4
2-s2.0-84884974379,"Hans Schiere J et al., (2012) Farming Systems Research into the 21st Century:...",3,2
2-s2.0-84865794370,"Broto V, (2012) Environmental Innovation and Societal Transitions",2,1
2-s2.0-84914169060,"Johansson N et al., (2012) Environmental Innovation and Societal Transitions",2,4
2-s2.0-84870013723,"Moore M et al., (2012) Journal of Social Entrepreneurship",2,1
2-s2.0-84879079775,"Napoletano M et al., (2012) Revue de l'OFCE",1,3
2-s2.0-84881389747,"Longhurst N, (2012) Advances in Ecopolitics",2,4
2-s2.0-84861409664,"Pant L, (2012) Journal of Agricultural Education and Extension",1,1
2-s2.0-84865308127,"Mihailova I & Panibratov A, (2012) Journal of East-West Business",1,1
2-s2.0-84856786004,"Bocanet A & Ponsiglione C, (2012) VINE",1,2
2-s2.0-84918833544,"Art B & Visseren-Hamdkers I, (2012) Forest-people Interfaces: Understanding Communi...",3,1
2-s2.0-84867935787,"Ferguson J, (2012) Ethnography",3,7
2-s2.0-84909645533,"Bouteligier S, (2012) Cities Networks and Global Environmental Govern...",4,5
2-s2.0-84860373956,"Bettis-Outland H, (2012) Journal of Business Research",3,1
2-s2.0-84867138291,"Soane I et al., (2012) Ecology and Society",3,2
2-s2.0-84860899351,"Mendez P et al., (2012) Ecology and Society",3,2
2-s2.0-84856324272,"Bowen K et al., (2012) International Journal of Environmental Research...",3,2
2-s2.0-84859102319,"Corning P, (2012) Synthese",3,5
2-s2.0-84871080486,"Gibbon J & Mensah K, (2012) SAGE Open",3,2
2-s2.0-84860224289,"Gonzalez-Loureiro M & Pita-Castelo J, (2012) Economics Letters",1,1
2-s2.0-84856290863,"Sanaei S et al., (2012) Applied Thermal Engineering",NA,NA
2-s2.0-84856543634,"Sanaei S & Nakata T, (2012) Energy",NA,NA
2-s2.0-84885487169,"Jacobs J & Cairns S, (2012) The New Blackwell Companion to the City",5,3
2-s2.0-84885493934,"Macnaghten P & Chilvers J, (2012) Critical Risk Research: Practices, Politics and...",3,4
2-s2.0-84866341751,"Martin R, (2012) European Planning Studies",4,3
2-s2.0-84855948509,"Reiner D & Liang X, (2012) Environmental Science and Technology",NA,NA
2-s2.0-84883181266,"Crabbe A et al., (2013) Journal of Cleaner Production",2,4
2-s2.0-84881664146,"Setiawan A & Cuppen E, (2013) Energy Policy",2,3
2-s2.0-84884266826,"Meelen T & Farla J, (2013) Technology Analysis and Strategic Management",2,5
2-s2.0-84884226296,"Hisschemoller M & Sioziou I, (2013) Environmental Politics",2,5
2-s2.0-84871919211,"Van Mierlo B et al., (2013) Agricultural Systems",2,5
2-s2.0-84925786191,"Harley C, (2013) Essays on a Mature Economy: Papers and Proceedi...",NA,NA
2-s2.0-84873477362,"Bos J et al., (2013) Journal of Economic Behavior and Organization",1,2
2-s2.0-84872044262,"Kontogianni A et al., (2013) International Journal of Hydrogen Energy",2,3
2-s2.0-84890591552,"Spaargaren G, (2013) Innovations in Sustainable Consumption",5,3
2-s2.0-84873177924,"Thogersen J, (2013) Nature Climate Change",NA,NA
2-s2.0-84884561704,"Foulds C et al., (2013) Building Research and Information",5,1
2-s2.0-84893503809,"Rinkinen J, (2013) Energy, Sustainability and Society",5,1
2-s2.0-84879842918,"Lin S, (2013) Mitigation and Adaptation Strategies for Global...",5,2
2-s2.0-84880046164,"Harmeling S & Sarasvathy S, (2013) Entrepreneurship: Theory and Practice",7,3
2-s2.0-84870246869,"Hulbert B et al., (2013) International Business Review",7,1
2-s2.0-84883757508,"Best J & Walters W, (2013) International Political Sociology",2,2
2-s2.0-84876751081,"Dionnet M et al., (2013) Ecology and Society",3,1
2-s2.0-84878536904,"Zahariadis N, (2013) Journal of European Public Policy",3,1
2-s2.0-84917416756,"Ockwell D & Mallett A, (2013) Low Carbon Development: Key Issues",2,1
2-s2.0-84889883720,"Perren L & Sapsed J, (2013) Research Policy",7,2
2-s2.0-84876691413,"van Opstal M & Huge J, (2013) Environment, Development and Sustainability",3,5
2-s2.0-84879410692,"Roy J et al., (2013) Current Opinion in Environmental Sustainability",2,4
2-s2.0-84892475755,"Felicetti A, (2013) Policy Studies",2,6
2-s2.0-84876098023,"Borghesi S et al., (2013) Journal of Evolutionary Economics",6,1
2-s2.0-84878230984,"Doloreux D & Lord-Tarte E, (2013) European Journal of Innovation Management",4,3
2-s2.0-84877056399,"Zhang Y et al., (2013) Frontiers of Earth Science",3,6
2-s2.0-84887108174,"Dedeurwaerdere T, (2013) Sustainability (Switzerland)",3,2
2-s2.0-84883547332,"Galt R, (2013) Geography Compass",3,3
2-s2.0-84872372766,"Leffers D & Ballamingie P, (2013) Local Environment",3,3
2-s2.0-84869002026,"Njeru J, (2013) Progress in Development Studies",3,3
2-s2.0-85016025420,"Jasanoff S, (2013) European Journal of Risk Regulation",3,4
2-s2.0-84890959015,"Marglin S, (2013) Development (Basingstoke)",3,4
2-s2.0-84875659654,"Eriksson R & Hansen H, (2013) Environment and Planning A",4,2
2-s2.0-84874659609,"Urban F et al., (2013) Environment, Development and Sustainability",NA,NA
2-s2.0-84894068649,"Kohler J, (2014) Journal of Environment and Development",2,1
2-s2.0-84888304753,"Vinkhuyzen O & Karlsson-Vinkhuyzen S, (2014) Journal of Cleaner Production",2,3
2-s2.0-84898540825,"Schmidt T & Dabur S, (2014) Environmental Economics and Policy Studies",2,5
2-s2.0-84896482335,"Di Iacovo F et al., (2014) Journal of Agricultural Education and Extension",2,1
2-s2.0-84961126908,"Strengers Y & Maller C, (2014) Social Practices, Intervention and Sustainabili...",5,2
2-s2.0-84890798922,"Chatterton T & Wilson C, (2014) Transportation Planning and Technology",5,2
2-s2.0-84893966705,"Keller M & Halkier B, (2014) Marketing Theory",5,1
2-s2.0-84898012897,"Jungnickel K & Aldred R, (2014) Mobilities",5,3
2-s2.0-84892409098,"Teixeira A, (2014) Cambridge Journal of Economics",1,1
2-s2.0-84899140163,"Kaihua C & Mingting K, (2014) Annals of Regional Science",1,1
2-s2.0-84901252507,"Todtling F & Grillitsch M, (2014) Journal of the Knowledge Economy",4,3
2-s2.0-84906493759,"Kauppi N & Madsen M, (2014) International Political Sociology",3,1
2-s2.0-84908381086,"Minh T et al., (2014) Journal of Rural Studies",2,1
2-s2.0-84899522538,"Bulkeley H et al., (2014) Political Geography",3,3
2-s2.0-84927176859,"Cidell J & Cope M, (2014) Journal of Environmental Planning and Management",4,5
2-s2.0-84897650168,"Suarez D, (2014) Research Policy",1,3
2-s2.0-84911405633,"Morinville C & Harris L, (2014) Ecology and Society",3,2
2-s2.0-84902282526,"Boyack K et al., (2014) Journal of Engineering and Technology Managemen...",3,5
2-s2.0-84903690089,"Berbes-Blazquez M et al., (2014) Ecology and Society",3,2
2-s2.0-84895903383,"Dossa Z & Kaeufer K, (2014) Journal of Business Ethics",2,4
2-s2.0-84977176799,"Poole A & Hudgins A, (2014) Journal of Environmental Studies and Sciences",3,3
2-s2.0-84904501288,"Armstrong A & Bulkeley H, (2014) Geoforum",2,6
2-s2.0-84906271191,"Larsson A & Lindstrom K, (2014) European Planning Studies",4,2
2-s2.0-84891636356,"Hensgen F et al., (2014) Bioresource Technology",NA,NA
2-s2.0-84896475817,"Mallick R et al., (2014) Resources, Conservation and Recycling",6,4
2-s2.0-84945463238,"Nyborg S & Ropke I, (2015) Energy Research and Social Science",2,1
2-s2.0-84939788636,"Marechal K & Holzemer L, (2015) Energy Research and Social Science",5,1
2-s2.0-84934943517,"Wells P & Lin X, (2015) Transportation Research Part A: Policy and Prac...",2,1
2-s2.0-84937116207,"Frieler K et al., (2015) Earth System Dynamics",2,4
2-s2.0-84923241483,"Lambe F et al., (2015) Energy Research and Social Science",2,4
2-s2.0-84942865952,"Nissinen A et al., (2015) Journal of Cleaner Production",2,4
2-s2.0-84928050479,"Feldman M et al., (2015) Regional Studies",1,2
2-s2.0-84924614315,"Fuentelsaz L et al., (2015) Journal of Management",1,4
2-s2.0-84930927333,"Kuijer L & Bakker C, (2015) International Journal of Sustainable Engineering",5,2
2-s2.0-84939188801,"Allen S et al., (2015) Energy Research and Social Science",5,2
2-s2.0-84930716851,"Holmes H, (2015) Work, Employment and Society",5,3
2-s2.0-85058303147,"Jeon J et al., (2015) Journal of Open Innovation: Technology, Market,...",1,1
2-s2.0-84937679315,"Grandclement C et al., (2015) Energy Policy",5,3
2-s2.0-84926362021,"Sotarauta M & Mustikkamaki N, (2015) Environment and Planning C: Government and Policy",4,3
2-s2.0-84938417224,"den Exter R et al., (2015) Local Environment",4,5
2-s2.0-84940997429,"Pablo-Romero M et al., (2015) Review of Policy Research",4,5
2-s2.0-84928797077,"Cloutier G et al., (2015) Climate Policy",4,5
2-s2.0-84921939582,"Simboli A et al., (2015) Ecological Economics",3,6
2-s2.0-84946490887,"Daviter F, (2015) Policy Sciences",3,1
2-s2.0-84923228863,"Quang D et al., (2015) Greenhouse Gases: Science and Technology",NA,NA
2-s2.0-84943630078,"Goess S et al., (2015) Energy Policy",1,1
2-s2.0-84977633392,"Brown K, (2015) Resilience, Development and Global Change",3,2
2-s2.0-84914812849,"Asprone D & Manfredi G, (2015) Disasters",3,2
2-s2.0-84937514316,"Ockwell D et al., (2015) Climatic Change",2,5
2-s2.0-84911475325,"Sovacool B et al., (2015) Renewable Energy",2,1
2-s2.0-84919690970,"Schlor H et al., (2015) Journal of Cleaner Production",3,2
2-s2.0-84937697979,"Schmalenberger A et al., (2015) Scientific Reports",NA,NA
2-s2.0-84945564354,"Watson J et al., (2015) Energy Policy",2,6
2-s2.0-84938552319,"Bradbury S & Middlemiss L, (2015) Local Environment",5,2
2-s2.0-84941955007,"Delgado-Serrano M & Ramos P, (2015) International Journal of the Commons",3,2
2-s2.0-84910091439,"Partelow S, (2015) Marine Policy",3,2
2-s2.0-84939262650,"Thiel A et al., (2015) Environmental Science and Policy",3,2
2-s2.0-84962163784,"Mann C et al., (2015) Ecosystem Services",3,2
2-s2.0-84949112156,"Moloney S & Funfgeld H, (2015) Urban Climate",3,2
2-s2.0-84930193718,"Hufen J & Koppenjan J, (2015) Energy, Sustainability and Society",2,3
2-s2.0-84944087123,"Mayne J, (2015) Canadian Journal of Program Evaluation",3,1
2-s2.0-85019313236,"Pel B, (2016) Journal of Environmental Policy and Planning",2,1
2-s2.0-84990990329,"Hoppe T et al., (2016) Sustainability (Switzerland)",2,1
2-s2.0-84930599598,"Wittmayer J et al., (2016) Local Environment",2,3
2-s2.0-84975250756,"Markantoni M, (2016) Environmental Policy and Governance",2,3
2-s2.0-84949497012,"Kern F et al., (2016) Technological Forecasting and Social Change",2,1
2-s2.0-85002342243,"Goldthau A & Sovacool B, (2016) Global Environmental Politics",2,2
2-s2.0-84969951827,"Saez-Martinez F et al., (2016) Journal of Cleaner Production",1,3
2-s2.0-84971597153,"Tanner A, (2016) Journal of Economic Geography",1,3
2-s2.0-85011762716,"Malerba F et al., (2016) Innovation and the Evolution of Industries: His...",1,2
2-s2.0-84991011424,"Jung H & Lee J, (2016) Academy of Management Journal",1,2
2-s2.0-84976216615,"Alcacer J & Delgado M, (2016) Management Science",4,1
2-s2.0-84980416337,"Chu E, (2016) Environmental Policy and Governance",2,1
2-s2.0-84953638439,"Butzin A & Widmaier B, (2016) Regional Studies",4,3
2-s2.0-84966372505,"Aiken G, (2016) Political Geography",5,2
2-s2.0-84968572494,"Gordon D, (2016) Global Environmental Politics",4,5
2-s2.0-84991406663,"Al-Maamary H et al., (2016) International Journal of Applied Engineering Re...",2,4
